Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
616184575568309,393.995,299.995,250,26.8002,8.31261,-26.6624,4.02886
616187595569207,393.995,320,250,25.0929,4.3724,-24.7796,3.18752
616190615568041,393.995,339.995,250,24.5425,3.0937,-24.4733,3.18728
616193635568435,393.995,360,250,26.0105,5.81883,-25.7366,2.36498
616219315566451,445.996,0,250,25.392,2.98102,-26.8346,1.70279
616222335567373,445.996,19.9953,250,27.0425,10.1356,-27.3231,3.03217
616225355567455,445.996,40,250,29.5692,4.64734,-29.4031,3.00158
616228375567237,445.996,59.9953,250,32.6063,3.04264,-31.8726,2.95458
616231395567272,445.996,80,250,34.163,18.6145,-34.4614,3.13278
616234415568098,445.996,99.9953,250,35.4467,13.0561,-35.7775,6.27224
616237435567712,445.996,120,250,39.1177,6.75267,-38.5655,4.71967
616240455567998,445.996,139.995,250,40.7867,6.52851,-40.205,6.85952
616243475569328,445.996,160,250,39.1454,13.7535,-40.7028,8.29087
616246495566914,445.996,179.995,250,38.7915,17.9884,-40.2479,5.73298
616249515568544,445.996,200,250,39.0024,9.80023,-38.8761,3.52018
616252535566694,445.996,219.995,250,37.709,3.05353,-37.0607,2.99324
616255555568336,445.996,240,250,35.3223,4.55656,-34.7399,3.98119
616258575568466,445.996,259.995,250,32.3014,12.4855,-32.4301,3.3322
616261595566568,445.996,280,250,29.4104,15.0095,-29.8068,3.23756
616264615568054,445.996,299.995,250,26.9007,9.20259,-26.9486,4.17847
616267635566684,445.996,320,250,25.2851,5.25821,-25.0906,3.74255
616270655568746,445.996,339.995,250,25.3954,2.98715,-24.8581,2.91905
616273675566548,445.996,360,250,26.4781,6.3658,-26.0242,3.18338
616299351568214,497.998,0,250,22.2335,3.6501,-24.0277,1.80911
616302371567576,497.998,19.9953,250,24.671,7.61879,-24.3207,2.17385
616305391567154,497.998,40,250,26.1487,10.1054,-26.147,3.57612
616308411566804,497.998,59.9953,250,29.5781,4.42098,-28.7595,3.34877
616311431568494,497.998,80,250,29.9954,18.1932,-31.0122,3.83142
616314451568216,497.998,99.9953,250,33.197,8.94463,-33.1983,3.70566
616317471567830,497.998,120,250,35.9556,6.50296,-35.1824,4.74107
616320491569353,497.998,139.995,250,37.1567,6.6795,-36.6851,5.32233
616323511566903,497.998,160,250,35.9892,17.0539,-37.3046,9.54203
616326531568965,497.998,179.995,250,38.2416,18.8423,-37.0797,5.30392
616329551566215,497.998,200,250,36.1404,9.18464,-35.9142,2.51882
616332571567689,497.998,219.995,250,33.8847,6.77009,-33.9575,3.89844
616335591566667,497.998,240,250,32.1823,7.91087,-31.8643,4.25924
616338611566401,497.998,259.995,250,29.1649,5.29608,-29.1081,3.0634
616341631568463,497.998,280,250,25.8054,26.6157,-26.5598,3.69187
616344651566517,497.998,299.995,250,23.7773,15.8875,-24.3617,3.75638
616347671567007,497.998,320,250,22.9094,5.58728,-22.7191,3.41743
616350691566525,497.998,339.995,250,21.8835,10.2092,-22.4186,3.65111
616353711568203,497.998,360,250,22.1278,18.376,-22.9256,5.58231
