Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1223421538522924,0,0,0,283.285,0.0444474,71.4283,0.0542727,-116.801,0.0489332
1223425542521130,0,0,0,283.118,0.109902,71.3992,0.0457012,-116.75,0.0659101
1223429546522084,0,0,0,283.263,0.0389132,71.3693,0.0550723,-116.759,0.0562232
1223433550523374,0,0,0,283.252,0.0403163,71.4199,0.0393487,-116.783,0.0602916
1223437554522372,0,0,0,283.244,0.043373,71.466,0.0485436,-116.798,0.0557552
1223441558523890,0,0,0,283.236,0.0343435,71.442,0.0488673,-116.806,0.0444851
1223445560522583,0,0,0,283.269,0.0385362,71.4613,0.0514618,-116.803,0.0569713
1223449564523441,0,0,0,283.307,0.0401616,71.4521,0.0459342,-116.804,0.058211
1223453568524167,0,0,0,283.302,0.0492945,71.4241,0.052474,-116.802,0.0510646
1223457572523141,0,0,0,283.287,0.055574,71.4415,0.0460276,-116.752,0.0680262
1223461576521275,0,0,0,283.231,0.0352036,71.4975,0.0588763,-116.734,0.05274
1223465580521293,0,0,0,283.277,0.0550285,71.4235,0.0461624,-116.763,0.0649155
1223469582522770,0,0,0,283.259,0.0372756,71.4865,0.0520109,-116.729,0.0532548
1223473584522123,0,0,0,283.235,0.0432861,71.5184,0.047622,-116.643,0.106304
1223477586523336,0,0,0,283.239,0.0458358,71.5496,0.044539,-116.605,0.0489565
1223481588521645,0,0,0,283.254,0.0342928,71.4846,0.0423698,-116.601,0.0530049
1223485590523902,0,0,0,283.286,0.0554915,71.4237,0.0497895,-116.537,0.0440952
1223489592522079,0,0,0,283.296,0.0429723,71.4202,0.0456265,-116.578,0.0615762
1223493594521444,0,0,0,283.265,0.0380622,71.4036,0.0524593,-116.583,0.0518099
1223497596521601,0,0,0,283.291,0.0438257,71.4322,0.0482188,-116.546,0.0564253
1223501598522466,0,0,0,283.277,0.0399023,71.441,0.0472675,-116.489,0.0686063
1223505600524075,0,0,0,283.281,0.0499167,71.3686,0.0451624,-116.511,0.0603385
1223509602521748,0,0,0,283.254,0.0401059,71.4142,0.0495343,-116.467,0.0520444
1223513604523201,0,0,0,283.265,0.0490692,71.4521,0.0470587,-116.441,0.0538582
1223517606521006,0,0,0,283.256,0.0393752,71.4269,0.0521276,-116.453,0.0517757
1223521608520995,0,0,0,283.288,0.0375548,71.4097,0.042454,-116.445,0.0573024
1223525610523612,0,0,0,283.277,0.0430875,71.4637,0.0486088,-116.497,0.042861
1223529612522917,0,0,0,283.253,0.0387889,71.4878,0.0490107,-116.619,0.0532016
1223533614523746,0,0,0,283.246,0.0344302,71.5015,0.0639094,-116.604,0.0557137
1223537616523819,0,0,0,283.199,0.0395288,71.4543,0.0448311,-116.568,0.0490198
1223541618523844,0,0,0,283.171,0.0355844,71.5163,0.0486361,-116.653,0.0546582
1223545620521457,0,0,0,283.18,0.0448788,71.5468,0.0489237,-116.602,0.0493968
1223549622521398,0,0,0,283.118,0.0370367,71.5045,0.0408048,-116.582,0.0449411
1223553624524351,0,0,0,283.13,0.0380491,71.5017,0.0554632,-116.675,0.0503793
1223557626522348,0,0,0,283.094,0.0341862,71.5237,0.0454945,-116.614,0.0613753
1223561628521689,0,0,0,283.102,0.0389006,71.4979,0.0550603,-116.609,0.0490951
1223565630522843,0,0,0,283.095,0.034849,71.4558,0.0542538,-116.576,0.0559416
